ID1-0h,ID1-2h,ID1-4h,ID1-6h,ID1-8h,ID1-10h,ID1-12h,ID2-0h,ID2-2h,ID2-4h,ID2-6h,ID2-8h,ID2-10h,ID2-12h
492.6,383,252.7,436.8,570,390.3,434.1,967.1,555.5,297.7,413.4,459.5,392.2,609.7
16.3,13.5,13.6,9.5,17.1,11.3,2.6,97.6,213.5,191.9,181.6,280.1,134.8,189.8
941.6,599.8,406.5,590.3,468.8,610.6,589.5,674.1,308.9,216.2,291.6,254.7,338.2,423.6
215.6,77.4,90,106.1,114.3,174,295.3,328.7,169.4,117.4,92.5,134.6,195.4,342.9
188.6,151.3,172.8,152.8,147.9,125.2,145.7,223.5,202.8,208.6,199.6,128.8,156.4,192.8
369.5,463.8,305,268.1,409,214.9,242.3,401.2,835.7,543.5,373.2,462.5,250.1,274
255.9,286,243.2,180.4,174.9,115.7,142.2,359,313.9,353.3,265.4,196.2,202.9,223
299.4,292.9,135.5,175.2,335.5,222,248.3,400.5,278.4,91.3,162.5,391.9,330.6,386
44.6,33.8,46.6,38.5,63.5,79.2,52,137.7,129.8,77.8,119.2,124.6,177.3,213.4
426.8,347.7,311.1,279.1,162.7,211.1,260.1,375.8,293.3,213.6,237,151,185.2,218.6
320.3,165.3,160.1,209,174.9,200.7,254.2,6.9,15.2,8.7,3.5,3.4,12.7,5.5
48.9,57.9,62.8,78.5,68.8,56.7,64.9,3,21.3,26,5.1,10.4,37.3,7.5
8.4,5.8,1,16.7,18.7,4.1,9.7,429,378.5,285.5,259.9,294.7,399.8,582.5
402,320.6,248,249,220,200.8,212.8,128.5,139.8,111.9,82.8,79.5,71.7,88.3
152,118.1,73.7,58.1,88.9,63.4,74.4,19,133.7,79.7,116.7,50.4,42.6,68.2
292.6,387.9,222.8,216,308.9,219.9,218.9,257.1,386.8,191,195.3,270.5,182.3,189.4
160.7,106.4,123.7,85.3,84.2,77.4,86.7,177.1,152.2,137.3,122.1,114.1,115.4,112.4
195.7,195.1,164.4,122.9,105.3,98.6,151.3,151.2,202,152.5,99.7,107.5,117.5,204.5
68.9,66.4,123.7,152.2,209.6,190.7,183.6,64.7,45.6,58.3,126.9,190.5,156.4,200.8
357.4,201,154.1,227.5,243.9,221.1,293.2,498.5,154.5,82.9,98.2,158,215.2,292.9
163,142.2,165.2,131.5,91.7,93.1,139.4,177.1,152.2,137.3,122.1,114.1,115.4,112.4
8.4,5.8,1,16.7,18.7,4.1,9.7,167.9,91.5,103.8,102.1,182.9,182,198.2
8.4,5.8,1,16.7,18.7,4.1,9.7,431.9,361.8,314.9,314.9,368.7,473.8,558.4
